post_id,user_id,content,sentiment,topic,likes,retweets_shares,replies,timestamp,hashtags
post_0000,user_022,Just had an amazing experience with YouTube! Highly recommend #entertainment #YouTube,positive,entertainment,4315,1050,52,2026-01-21 15:15:09.169236, #entertainment #YouTube
post_0001,user_008,Änalysis of recent politics developments. #politics #YouTube,neutral,politics,7150,4584,11,2026-01-05 19:15:09.169236, #politics #YouTube
post_0002,user_023,New study shows trends iin ML. Data attached. #sports #YouTube,neutral,sports,6727,331,606,2026-01-08 18:15:09.169236, #sports #YouTube
post_0003,user_006,Interesting article about sports.Worth reading. #sports #YouTube,neutral,sports,125,1776,600,2026-01-16 04:15:09.169236, #sports #YouTube
post_0004,user_023,Änalysis of recent entertainment developments. #entertainment #Facebook,neutral,entertainment,1659,4181,627,2026-01-09 03:15:09.169236, #entertainment #Facebook
post_0005,user_005,Interesting article about politics.Worth reading. #politics #Facebook,neutral,politics,2462,4179,938,2026-01-15 01:15:09.169236, #politics #Facebook
post_0006,user_018,Discussion about TikTok features.What do you think? #technology #TikTok,neutral,technology,3535,1792,46,2025-12-25 11:15:09.169236, #technology #TikTok
post_0007,user_048,New study shows trends iin data science. Data attached. #science #Twitter,neutral,science,9372,3331,885,2026-01-04 17:15:09.169236, #science #Twitter
post_0008,user_024,Really disappointed with YouTube.Excepted better #science #YouTube,negative,science,6400,389,60,2025-12-30 23:15:09.169236, #science #YouTube
post_0009,user_033,Frustrated with the lack of progress in AI. #sports #TikTok,negative,sports,1556,882,614,2026-01-03 17:15:09.169236, #sports #TikTok
post_0010,user_008,New study shows trends iin AI. Data attached. #technology #Instagram,neutral,technology,5276,3781,729,2026-01-04 01:15:09.169236, #technology #Instagram
post_0011,user_009,Interesting article about politics.Worth reading. #politics #TikTok,neutral,politics,4544,3999,167,2025-12-29 21:15:09.169236, #politics #TikTok
post_0012,user_024,Just had an amazing experience with YouTube! Highly recommend #entertainment #YouTube,positive,entertainment,1319,1517,809,2026-01-14 03:15:09.169236, #entertainment #YouTube
post_0013,user_037,New study shows trends iin data science. Data attached. #politics #TikTok,neutral,politics,7276,2792,952,2026-01-05 07:15:09.169236, #politics #TikTok
post_0014,user_030,Frustrated with the lack of progress in ML. #sports #Facebook,negative,sports,8140,2602,254,2025-12-31 13:15:09.169236, #sports #Facebook
post_0015,user_023,The state politics is concerning. Need urgent action #politics #TikTok,negative,politics,8725,3021,448,2026-01-17 01:15:09.169236, #politics #TikTok
post_0016,user_001,Loving the new features in Instagram. Game changer! #sports #Instagram,positive,sports,6243,2019,160,2025-12-26 02:15:09.169236, #sports #Instagram
post_0017,user_044,So excited about the new technology developments.Future is bright #technology #Twitter,positive,technology,5955,4119,708,2026-01-16 05:15:09.169236, #technology #Twitter
post_0018,user_026,Frustrated with the lack of progress in ML. #science #Facebook,negative,science,2052,3469,654,2026-01-02 04:15:09.169236, #science #Facebook
post_0019,user_043,Instagram needs serious improvements. Not impressed #technology #Instagram,negative,technology,7406,4015,994,2025-12-29 02:15:09.169236, #technology #Instagram
post_0020,user_019,Interesting article about technology.Worth reading. #technology #Facebook,neutral,technology,308,4082,608,2025-12-27 21:15:09.169236, #technology #Facebook
post_0021,user_017,Interesting article about technology.Worth reading. #technology #YouTube,neutral,technology,2348,4777,950,2025-12-30 23:15:09.170254, #technology #YouTube
post_0022,user_026,Interesting article about politics.Worth reading. #politics #Instagram,neutral,politics,1717,719,413,2026-01-09 02:15:09.170254, #politics #Instagram
post_0023,user_031,The state politics is concerning. Need urgent action #politics #TikTok,negative,politics,1567,2308,713,2026-01-19 12:15:09.170254, #politics #TikTok
post_0024,user_048,Loving the new features in Twitter. Game changer! #politics #Twitter,positive,politics,7610,2843,335,2026-01-02 08:15:09.170254, #politics #Twitter
post_0025,user_022,Änalysis of recent science developments. #science #Facebook,neutral,science,7623,948,459,2025-12-28 00:15:09.170254, #science #Facebook
post_0026,user_024,Instagram needs serious improvements. Not impressed #sports #Instagram,negative,sports,3443,2774,113,2025-12-24 11:15:09.170254, #sports #Instagram
post_0027,user_021,Great to see progress in programming. Well done everyone! #sports #Twitter,positive,sports,4295,3132,892,2025-12-31 02:15:09.170254, #sports #Twitter
post_0028,user_014,Discussion about TikTok features.What do you think? #politics #TikTok,neutral,politics,2704,3197,235,2026-01-06 09:15:09.170254, #politics #TikTok
post_0029,user_003,The state sports is concerning. Need urgent action #sports #Twitter,negative,sports,3649,863,516,2025-12-26 02:15:09.170254, #sports #Twitter
post_0030,user_040,New study shows trends iin ML. Data attached. #sports #TikTok,neutral,sports,4485,4675,811,2026-01-12 16:15:09.170254, #sports #TikTok
post_0031,user_030,So excited about the new politics developments.Future is bright #politics #Facebook,positive,politics,5800,2747,140,2026-01-15 13:15:09.170254, #politics #Facebook
post_0032,user_004,Just had an amazing experience with Facebook! Highly recommend #sports #Facebook,positive,sports,2125,2980,212,2026-01-06 16:15:09.170254, #sports #Facebook
post_0033,user_027,Discussion about YouTube features.What do you think? #sports #YouTube,neutral,sports,8079,4655,345,2026-01-10 01:15:09.170254, #sports #YouTube
post_0034,user_001,Really disappointed with TikTok.Excepted better #health #TikTok,negative,health,7378,1016,947,2026-01-20 08:15:09.170254, #health #TikTok
post_0035,user_043,The state politics is concerning. Need urgent action #politics #Instagram,negative,politics,1561,2463,598,2026-01-08 04:15:09.170254, #politics #Instagram
post_0036,user_030,Interesting article about technology.Worth reading. #technology #Twitter,neutral,technology,3418,3609,465,2025-12-28 19:15:09.170254, #technology #Twitter
post_0037,user_045,Loving the new features in Twitter. Game changer! #science #Twitter,positive,science,371,506,171,2025-12-23 08:15:09.170254, #science #Twitter
post_0038,user_045,Änalysis of recent science developments. #science #TikTok,neutral,science,5672,3595,932,2026-01-16 09:15:09.170254, #science #TikTok
post_0039,user_018,Loving the new features in TikTok. Game changer! #sports #TikTok,positive,sports,3619,4510,663,2025-12-23 14:15:09.170254, #sports #TikTok
post_0040,user_001,Just had an amazing experience with Instagram! Highly recommend #health #Instagram,positive,health,299,4215,54,2026-01-06 12:15:09.170254, #health #Instagram
post_0041,user_029,New study shows trends iin ML. Data attached. #technology #Instagram,neutral,technology,9955,1400,644,2026-01-06 21:15:09.170254, #technology #Instagram
post_0042,user_023,Discussion about TikTok features.What do you think? #technology #TikTok,neutral,technology,5684,637,63,2026-01-07 01:15:09.170254, #technology #TikTok
post_0043,user_016,Great to see progress in programming. Well done everyone! #entertainment #YouTube,positive,entertainment,6523,1292,364,2025-12-26 01:15:09.170254, #entertainment #YouTube
post_0044,user_004,The state sports is concerning. Need urgent action #sports #Facebook,negative,sports,7165,2932,215,2025-12-30 12:15:09.170254, #sports #Facebook
post_0045,user_014,Just had an amazing experience with YouTube! Highly recommend #politics #YouTube,positive,politics,9074,2697,398,2026-01-19 20:15:09.170254, #politics #YouTube
post_0046,user_046,Really disappointed with Twitter.Excepted better #politics #Twitter,negative,politics,5002,1529,229,2025-12-31 22:15:09.170254, #politics #Twitter
post_0047,user_006,Discussion about Facebook features.What do you think? #health #Facebook,neutral,health,293,865,777,2026-01-01 01:15:09.170254, #health #Facebook
post_0048,user_010,The state technology is concerning. Need urgent action #technology #YouTube,negative,technology,6419,4812,730,2026-01-18 04:15:09.170254, #technology #YouTube
post_0049,user_001,The state technology is concerning. Need urgent action #technology #TikTok,negative,technology,5350,3828,710,2026-01-07 10:15:09.170254, #technology #TikTok
post_0050,user_045,Facebook needs serious improvements. Not impressed #health #Facebook,negative,health,835,3923,279,2025-12-26 10:15:09.170254, #health #Facebook
post_0051,user_040,Discussion about YouTube features.What do you think? #health #YouTube,neutral,health,1569,72,475,2025-12-29 18:15:09.170254, #health #YouTube
post_0052,user_039,Änalysis of recent health developments. #health #TikTok,neutral,health,5903,2926,386,2026-01-04 09:15:09.170254, #health #TikTok
post_0053,user_038,Änalysis of recent health developments. #health #Facebook,neutral,health,8075,4847,773,2025-12-27 04:15:09.170254, #health #Facebook
post_0054,user_000,Twitter needs serious improvements. Not impressed #science #Twitter,negative,science,3256,1855,685,2026-01-19 20:15:09.171244, #science #Twitter
post_0055,user_007,Great to see progress in programming. Well done everyone! #sports #YouTube,positive,sports,9956,4620,462,2025-12-28 13:15:09.171244, #sports #YouTube
post_0056,user_020,New study shows trends iin programming. Data attached. #politics #Facebook,neutral,politics,1073,3982,638,2025-12-29 00:15:09.171244, #politics #Facebook
post_0057,user_033,TikTok needs serious improvements. Not impressed #sports #TikTok,negative,sports,2677,127,782,2026-01-13 17:15:09.171244, #sports #TikTok
post_0058,user_021,Änalysis of recent entertainment developments. #entertainment #TikTok,neutral,entertainment,1140,4921,860,2025-12-29 21:15:09.171244, #entertainment #TikTok
post_0059,user_048,Loving the new features in TikTok. Game changer! #entertainment #TikTok,positive,entertainment,9266,2579,636,2026-01-01 11:15:09.171244, #entertainment #TikTok
post_0060,user_006,Really disappointed with Instagram.Excepted better #science #Instagram,negative,science,7447,3198,723,2026-01-12 07:15:09.171244, #science #Instagram
post_0061,user_022,New study shows trends iin data science. Data attached. #health #Instagram,neutral,health,8452,76,683,2026-01-03 12:15:09.171244, #health #Instagram
post_0062,user_044,So excited about the new technology developments.Future is bright #technology #Instagram,positive,technology,4883,2105,88,2026-01-03 23:15:09.171244, #technology #Instagram
post_0063,user_049,Discussion about Twitter features.What do you think? #sports #Twitter,neutral,sports,7944,842,45,2026-01-18 03:15:09.171244, #sports #Twitter
post_0064,user_032,The state health is concerning. Need urgent action #health #Facebook,negative,health,4312,4268,298,2025-12-28 22:15:09.171244, #health #Facebook
post_0065,user_028,Interesting article about science.Worth reading. #science #TikTok,neutral,science,8062,4627,466,2026-01-17 18:15:09.171244, #science #TikTok
post_0066,user_042,Frustrated with the lack of progress in data science. #health #Facebook,negative,health,8156,3209,557,2026-01-17 20:15:09.171244, #health #Facebook
post_0067,user_034,Loving the new features in TikTok. Game changer! #science #TikTok,positive,science,9060,4847,117,2026-01-09 05:15:09.171244, #science #TikTok
post_0068,user_009,Interesting article about science.Worth reading. #science #Facebook,neutral,science,1433,4128,524,2025-12-26 00:15:09.171244, #science #Facebook
post_0069,user_014,Änalysis of recent health developments. #health #TikTok,neutral,health,1939,526,913,2026-01-11 17:15:09.171244, #health #TikTok
post_0070,user_044,The state science is concerning. Need urgent action #science #Facebook,negative,science,3745,1782,33,2026-01-07 00:15:09.171244, #science #Facebook
post_0071,user_045,Facebook needs serious improvements. Not impressed #science #Facebook,negative,science,1622,832,500,2025-12-24 09:15:09.171244, #science #Facebook
post_0072,user_042,Loving the new features in YouTube. Game changer! #technology #YouTube,positive,technology,6103,1210,359,2026-01-18 05:15:09.171244, #technology #YouTube
post_0073,user_042,Discussion about TikTok features.What do you think? #health #TikTok,neutral,health,2448,3022,25,2025-12-24 17:15:09.171244, #health #TikTok
post_0074,user_012,Facebook needs serious improvements. Not impressed #health #Facebook,negative,health,2811,4742,289,2026-01-14 06:15:09.171244, #health #Facebook
post_0075,user_019,Great to see progress in ML. Well done everyone! #politics #Instagram,positive,politics,5015,3812,879,2025-12-31 04:15:09.171244, #politics #Instagram
post_0076,user_030,The state sports is concerning. Need urgent action #sports #Instagram,negative,sports,28,3066,572,2026-01-19 19:15:09.171244, #sports #Instagram
post_0077,user_034,Änalysis of recent health developments. #health #Facebook,neutral,health,4216,2019,335,2026-01-12 13:15:09.172239, #health #Facebook
post_0078,user_022,Discussion about YouTube features.What do you think? #health #YouTube,neutral,health,9997,4336,485,2025-12-28 04:15:09.172239, #health #YouTube
post_0079,user_002,Great to see progress in programming. Well done everyone! #science #TikTok,positive,science,6128,4202,420,2026-01-05 07:15:09.172239, #science #TikTok
post_0080,user_016,Loving the new features in Facebook. Game changer! #sports #Facebook,positive,sports,2753,3982,988,2026-01-04 06:15:09.172239, #sports #Facebook
post_0081,user_015,Änalysis of recent health developments. #health #Twitter,neutral,health,8993,4117,592,2025-12-27 21:15:09.172239, #health #Twitter
post_0082,user_001,New study shows trends iin programming. Data attached. #technology #Instagram,neutral,technology,9578,913,32,2026-01-08 10:15:09.172239, #technology #Instagram
post_0083,user_022,Änalysis of recent politics developments. #politics #Instagram,neutral,politics,8828,882,930,2026-01-02 17:15:09.172239, #politics #Instagram
post_0084,user_009,Loving the new features in YouTube. Game changer! #entertainment #YouTube,positive,entertainment,975,1203,954,2026-01-15 05:15:09.172239, #entertainment #YouTube
post_0085,user_047,So excited about the new sports developments.Future is bright #sports #Instagram,positive,sports,7904,1267,667,2026-01-05 01:15:09.172239, #sports #Instagram
post_0086,user_010,Frustrated with the lack of progress in programming. #entertainment #YouTube,negative,entertainment,5225,389,476,2025-12-24 14:15:09.172239, #entertainment #YouTube
post_0087,user_020,Great to see progress in data science. Well done everyone! #entertainment #Twitter,positive,entertainment,4516,1445,711,2025-12-27 20:15:09.172239, #entertainment #Twitter
post_0088,user_019,Really disappointed with YouTube.Excepted better #politics #YouTube,negative,politics,9610,2673,592,2025-12-24 11:15:09.172239, #politics #YouTube
post_0089,user_024,Discussion about YouTube features.What do you think? #science #YouTube,neutral,science,6002,3013,706,2026-01-13 04:15:09.172239, #science #YouTube
post_0090,user_038,Twitter needs serious improvements. Not impressed #technology #Twitter,negative,technology,1161,2422,931,2026-01-07 19:15:09.172239, #technology #Twitter
post_0091,user_043,So excited about the new science developments.Future is bright #science #YouTube,positive,science,7293,314,184,2026-01-09 07:15:09.172239, #science #YouTube
post_0092,user_034,Great to see progress in data science. Well done everyone! #sports #Twitter,positive,sports,3598,3337,118,2026-01-14 01:15:09.172239, #sports #Twitter
post_0093,user_044,Discussion about Instagram features.What do you think? #technology #Instagram,neutral,technology,1510,1156,525,2026-01-07 15:15:09.172239, #technology #Instagram
post_0094,user_001,New study shows trends iin data science. Data attached. #sports #Twitter,neutral,sports,7540,4112,111,2026-01-17 10:15:09.172239, #sports #Twitter
post_0095,user_016,Great to see progress in ML. Well done everyone! #technology #YouTube,positive,technology,6582,2155,249,2025-12-29 07:15:09.172239, #technology #YouTube
post_0096,user_023,Really disappointed with YouTube.Excepted better #politics #YouTube,negative,politics,9989,895,275,2026-01-01 08:15:09.172239, #politics #YouTube
post_0097,user_020,New study shows trends iin AI. Data attached. #health #YouTube,neutral,health,2029,4513,85,2026-01-05 11:15:09.172239, #health #YouTube
post_0098,user_037,Great to see progress in data science. Well done everyone! #technology #YouTube,positive,technology,6261,4250,935,2025-12-29 05:15:09.172239, #technology #YouTube
post_0099,user_048,Interesting article about health.Worth reading. #health #YouTube,neutral,health,5611,3030,649,2025-12-24 15:15:09.172239, #health #YouTube
